Review
"✅ Trip Verified | We paid for the early bird service to get checked in as soon as possible so the 4 of us could sit together and we are clear back at the end of B. What a scam the early bird service is. We won't even be sitting together and when we called to talk to them, we were told that is very common even with the early bird service and that we should be happy it even checked us in. She said, ""it did what it was supposed to do."" Southwest could care less now that they have our extra $150. This is why we always fly Delta. Thought we would try southwest again, but got reminded why we never fly with Southwest."
"Not Verified | There were delays due to weather, of which I know the airline has no control over, on my trip from Tucson, AZ, with a stopover in Las Vegas, NV, then to my final destination of Ontario, California. On my returning trip, my flight to my stopover in Las Vegas was delayed due to the plane needing to be repaired, which we were told was in Phoenix, AZ. When I finally arrived in Las Vegas to catch my connecting flight back to Tucson, Az, I happened to be in the 2nd to the last row of the plane, having boarded with the C group. The last thing the flight attendant announced to the passengers was, “If you have a connecting flight, good luck!” Her tone was actually sarcastic in nature. She could have announced to all of the passengers to remain seated so those with connecting flights could deplane first. I had to run from gate A4 to gate B10 at the LV airport with only 20 minutes until my connecting flight was to depart. I am 70 years old, and pretty active, but I must have ran for more than a mile. No shuttles. No help. I heard my name spoken over the loud speaker at the airport to board the plane. I made it without a second to spare! The attendant told me he was just getting ready to delete my boarding pass. I will never fly Southwest again!"
"Not Verified | Open Seating is basically battle royal. What happened to Southwest? I’d go with Spirit or Ever After Airlines before Southwest. We took a wrong turn and ended up in Reno on a direct flight. Went from 2 hrs to 10. They asked us to pay for wifi when they didn’t have TVs but no USB, USB-C or 110v plugs. Had to land with a dead phone. On the way back, my family and I had to sit separate. A 9 and 11 yo in the back, my wife at the front of the plan in the middle. It was difficult to let this happen but when my kids said the Flight Attendant was rude when he asked for Apple Juice instead of Coffee I knew we made a mistake."
"✅ Trip Verified | Changed flights arriving from Puerto Rico, into Baltimore. Required wheelchair assist (due to an injury, wearing a knee high boot). I am 71 years old. My travel partner is 70. We both required wc assist. The wheelchairs were late, despite being requested at time flight was booked, and at each point of boarding, hence we were late boarding, and were at the back of the plane. Therefore, we were the last exiting. One of the pilots 'yelled hurry it up back there, we need to reload' as we were exiting one of the male staff said 'I thought they were having a BBQ back there'? The wwheelchairc left without us cause 'we took too long'"
"✅ Trip Verified |  I have now flown Southwest for four years. It has continued to go down with every aspect of Customer Service. I have accumulated up to $600 worth of vouchers because they continue to not deliver. I would not recommend this airline. Recently, as we were all boarded, then deplaned because a security check wasn’t completed. I couldn’t make my connection, had to wait two hours, when I arrived at my destination, my luggage wasn’t there. It was on the original flight and I had to wait another two hours. I had a 4 hour mountainous drive. I was supposed to arrive at 4 PM and arrived at 10 PM. This is only one of at least five terrible flights, as I mentioned, and the vouchers keep coming. On my return, they were late again as usual, we were waiting for another plane, which was smaller. An agent took the mic, and in a very militant voice said five of you are going to handover your carry-ons and we are going to put them in Luggage. She then proceeded to come up to me and said “you”! I had a rolling backpack with $10,000 worth of Camera gear. I said I’m sorry but I cannot put this in Luggage. She said “then you’re gonna have to take a later flight”! I thought, here we go again. I want to speak to a manager. Luckily within a few minutes, someone volunteered their piece of luggage. The plane barely had breathing room. You feel like you’re on a cattle call! Management, I have heard has changed and I was recommended by a few employees to write this review. They are charging for baggage, which I don’t mind paying but people don’t want to pay so they’ve loaded up on overhead space. Their business model seems to have changed. I don’t plan on using my $300 voucher. I have had nothing but disappointment,frustration, and major delays impacting my trip & health. Most of the time the employees are very nice, but this girl in Phoenix should be fired!"
"✅ Trip Verified |  I was traveling alone with my toddler, who had his own seat. Toward the end of the flight, a flight attendant came to me with a trash bag, placed it in my lap, and told me, “I’m going to give this to you so you can get that up off the floor. Thank you,” in a condescending tone. I had already handed over our trash during the normal collection, but in this instance, I was singled out and spoken to in a way that felt disrespectful and dismissive. As a parent traveling alone, the flight was already stressful, and the interaction left me feeling judged and embarrassed. I understand that children make messes on planes and that crews have to clean between flights. My concern is not about cleaning, but about the way I was spoken to and treated. I hope the airline can address how attendants communicate with passengers—especially parents traveling alone—so that future passengers aren’t made to feel the way I did."
"Not Verified | As frequent Southwest customers who fly 10-12 times every year, we are beyond outraged and heartbroken over what happened to our family member at Chicago Midway Airport. The level of disrespect, neglect, and outright cruelty we witnessed from both Southwest Airlines staff and the Chicago Police Department is unacceptable. My 74-year-old mother, who requires wheelchair assistance, was denied proper help by Southwest staff. Not only did they fail to assist her, they refused to allow her to board the plane. Instead of showing basic human decency or making any effort to accommodate her, they escalated the situation unnecessarily. What's worse, the Chicago Police Department got involved--not to help, but to forcibly remove her from the terminal and throw her curbside without any assistance. For a senior citizen needing mobility support, this was not only humiliating--it was dangerous. Law enforcement should know better. They should have shown courtesy and common sense, not treated her like a problem to be thrown away. This kind of treatment is inhumane, especially toward someone elderly and vulnerable. We've been loyal customers of Southwest for years, but this was nothing short of brutality and neglect. There is absolutely no excuse."
"✅ Trip Verified |    Horrible customer service, rude, lack of knowledge and no customer focus. I understand delays, however when a delay occurs it’s Upto the airline to provide solutions. My flight was delayed for weather than maintenance, once the plane was at the gate and ready to board Southwest didn’t have a crew available."
"✅ Trip Verified | I’ve am a longstanding (frequent flier) SWA customer for many, many years, but I am reaching the end of that era. I sought assistance for early boarding at the red help desk on Sunday the 24th of August; only to have the employee roll her eyes with distain. No, I don’t want to use a wheelchair which is a resource I choose not to take advantage of… I am not obese or lazy, which is a lot of what you see anymore using the wheelchairs and taking up valuable staffing. I’ve had 4x back surgeries with implants. I carry my handicap place card, along with my speciality under side cushion. When I attempted to pull out my place card, she abruptly stated, “don’t pull that out, do I look like a car!” Beyond indignant, she then asks if I need a particular seat, I exclaim yes that I must have the aisle, so I can stand periodically to decompress my lumbar. She responds, everyone wants an aisle. This occurred at gate A14 SWA terminal at approximately 2:45pm, in case SWA cares to address one of their own. She could benefit with an etiquette course or better yet, relieve her of her duties. I am appalled, how dare she cast judgment when she knows nothing of my condition. I just need the extra time so I don’t hold anyone up during the boarding process nor can I be bumped. My surgeon says my back is glass, so I take every precaution available. This isn’t a strategy to gain better seating, because there’s no good seats on SWA anymore. They continue to cram us in like sardines. Honestly, I’m sure this isn’t an isolated occurrence because more often than none, the SWA flights aren’t full anymore. It’s like all  middle seating is available. Frankly, I would rather pay a little more going forward, then to be confronted with such unkindness by a person who is paid by my loyalty as a customer. Very disappointing and I hope she never finds herself in my condition because her karma would be ten-fold when it rears its ugly face. The final icing was that I was supposed to fly out on the 30th but had an emergency and needed to return a week earlier, and SWA made me pay nearly $200 more for said change. It is beyond ridiculous, but you have to pay because you’re a hostage and powerless when outside your home state. That flight from FL to MD round trip ended up being over $600 dollars. Thanks, but if I want to pay that sort of price point, I’ll stick with Delta and be appreciated for being a loyal customer without rolling eyes and demeaning responses when asked a simple question for early boarding."
"✅ Trip Verified |  SW used to be great now they want to charge $$ for everything even though you will probably get old planes, no phone charging, no internet, no entertainment. Pay for bags, seat selection, early boarding. You could get one way for 12000 points, now 30,000. I flew on 7/9/25 from San Diego to Nashville. I am disabled military and always preboard- I always offer to show them my military ID. Every time I ask if I need to get anything special ahead of time, they say no, just like flight to SD. Well this time, they would not let me on, made me go back up to desk in front of everyone. Were very rude, asks me three questions and tells me I have to answer them correctly. Then the guy comes up to desk, threatens to not let me on plane again if I cuss - I got my pass, told him I would be contacting corp. He said, that is fine, I will be warning them about you and putting a note on your account. He then proceeds to what I consider harassment and intimidation. He then comes down the ramp and hangs out until I get on. Then once on plane, he hangs out around me, puts his stomach right in my face, kind of adjusts the bags in overhead but only within 4 seats of me. It was so embarrassing, he made me feel like a criminal. I am 5'1"" 114 lbs. pretty small female in 50s."
"✅ Trip Verified |   The first time flying on SWA since their checked bag fees went into place. My bags were free because I purchased my ticket before the 5/28/25 switchover, but the bag drop line became so long and irritating (with a separate line for passengers with higher fare tickets). Flying back from Tampa I experienced a three hour delay due to mechanical issues. Got a $50 LUV voucher. After that less than stellar experience I think I will fly Delta and Breeze instead. At least they’re mostly on time, better organized and honest about their fee structure."
"✅ Trip Verified | Unbelievable Customer Service from Southwest Airlines! From flight delays to customer support, I truly had an unforgettable experience. My journey started with a delayed first flight, and stress quickly set in as I realized I might miss my connecting flight. But the amazing team on that first flight turned things around — they kept the mood light with humor and truly went above and beyond to ease the situation. To my surprise (and huge relief), my second flight was also delayed just enough… and the crew actually held the plane for a few minutes so I could make it! That moment alone was the cherry on top. Even better? My luggage made it too! I can’t express enough how grateful and impressed I am with the entire experience. Based on this trip, I’ll definitely be recommending Southwest to friends and family — and I’ll continue flying with you in the future. Thank you, Southwest!!"
